# Word frequencies generated using Sudachi tokenization (Modes A, B, C)
# Data Provenance: HuggingFace 'mc4' dataset (validation split)
# Word	Sudachi_A	Sudachi_B	Sudachi_C
の	206582	206582	206381
、	177906	177906	177906
に	142239	142237	142233
。	130376	130376	130376
て	128483	128483	128483
が	116057	116057	116057
は	108309	108309	108309
を	101311	101311	101311
で	99483	99460	99460
と	89739	89739	89724
た	83500	83500	83299
し	67514	67504	67504
も	54542	54533	54533
 	47148	47148	47148
ます	44294	44294	44283
です	41741	41741	41741
な	36011	36011	36010
ない	26888	26888	26878
か	26246	26246	26246
こと	24014	24014	24014
・	23873	23873	23773
から	22457	22457	22457
い	21940	21937	21937
する	21348	21348	21348
まし	19461	19461	19461
いる	19327	19326	19326
「	18639	18639	18639
」	18550	18550	18550
ん	17134	17134	17134
いう	15672	15672	15659
れ	15529	15529	15526
だ	15504	15504	15504
さ	15559	14382	14365
ある	14337	14337	14337
や	13384	13382	13382
お	18934	12708	12688
あり	12388	12324	12324
よう	11470	11470	11470
！	10265	10265	10265
ね	9736	9729	9729
（	9496	9496	9496
）	8639	8639	8639
ませ	8551	8551	8551
人	9891	8366	8353
なっ	8294	8294	8294
その	8566	8275	8275
など	7913	7913	7913
この	7871	7816	7816
ば	7832	7832	7776
もの	7311	7311	7311
　	6839	6839	6839
方	7637	6571	6571
さん	6792	6519	6505
それ	6411	6411	6411
なる	6352	6352	6351
なり	6231	6222	6222
でき	6216	6193	6193
たい	6146	6146	6146
？	6118	6118	6118
そう	6059	6059	6059
なく	6049	6048	6048
よ	6042	6042	6042
まで	6157	5637	5637
私	6160	5430	5430
ため	5416	5412	5412
思い	5989	5394	5392
これ	5325	5325	5325
たら	5206	5205	5205
だけ	5358	5358	5179
なら	5075	5075	5075
って	5045	5045	5045
年	5277	5006	4995
き	4928	4924	4924
中	5730	4870	4839
できる	4972	4972	4809
でしょう	4778	4778	4778
より	4753	4751	4751
れる	4615	4615	4615
ご	5379	4577	4577
けど	4527	4527	4527
いい	4573	4569	4522
日	5511	4562	4385
でし	4329	4329	4329
つい	4436	4324	4324
へ	4262	4262	4262
(	4218	4218	4218
時	4324	4121	4111
また	4111	4111	4111
あっ	4101	4068	4068
場合	4063	4063	4063
だっ	3893	3893	3893
見	5425	4065	3864
たり	3838	3837	3837
何	4229	3535	3535
1	3563	3536	3534
せ	3534	3534	3534
)	3528	3528	3528
ず	3590	3483	3482
られ	3477	3477	3477
月	3442	3426	3425
思っ	3416	3416	3416
自分	3582	3535	3395
おり	3380	3365	3365
ください	3205	3205	3205
ところ	3204	3204	3204
気	3178	3175	3175
どう	3161	3161	3161
～	3095	3095	3095
感じ	3095	3071	3071
てる	3032	3032	3032
前	3096	3052	3028
2	3030	3022	3017
つ	3324	2953	2953
一	3219	3036	2942
み	4314	2928	2928
今	3506	2920	2920
時間	3405	3032	2799
サイト	2800	2799	2696
考え	2947	2681	2681
【	2654	2654	2654
なかっ	2618	2618	2618
後	3031	2571	2571
】	2560	2560	2560
.	2552	2552	2552
１	2554	2536	2535
必要	2654	2575	2520
良い	2476	2476	2476
事	2503	2467	2466
多い	2446	2446	2446
いっ	2438	2438	2438
円	2453	2435	2435
3	2412	2412	2410
ながら	2407	2407	2407
思う	2322	2322	2322
日本	3283	2469	2288
行っ	2257	2257	2257
：	2198	2198	2198
女性	2265	2192	2192
，	2130	2130	2130
出	3805	2132	2129
出会い	1810	2123	2123
他	2121	2116	2116
２	2115	2114	2109
ら	2092	2092	2092
多く	2089	2089	2089
情報	2449	2396	2086
上	2152	2079	2079
とき	2074	2072	2068
じゃ	2050	2050	2050
くれ	2036	2036	2036
そして	2018	2018	2018
目	2366	2204	2003
商品	2053	1995	1981
よく	1971	1971	1971
系	2030	1970	1968
話	1957	1954	1954
無料	1980	1952	1942
ここ	1937	1937	1937
だろう	1927	1927	1927
方法	2050	2025	1895
しまう	1890	1890	1890
もう	1887	1887	1887
紹介	1915	1882	1870
ござい	1876	1876	1865
:	1852	1852	1852
ほど	1860	1860	1851
分	1870	1846	1846
やっ	1848	1832	1832
なん	1811	1811	1811
わけ	1806	1804	1804
よっ	1805	1803	1803
しれ	1808	1801	1801
仕事	1923	1890	1793
言っ	1792	1792	1792
しまい	1764	1763	1763
『	1739	1739	1739
以上	1717	1717	1717
利用	2219	1756	1714
人気	1875	1705	1705
同じ	1701	1701	1701
問題	1804	1732	1699
３	1698	1698	1698
』	1697	1697	1697
いく	1982	1679	1679
今回	1662	1662	1662
等	1663	1661	1657
そんな	1645	1645	1645
本	1712	1642	1642
本当	1639	1639	1639
られる	1617	1617	1617
♪	1614	1614	1614
第	1682	1639	1609
今日	1597	1595	1595
来	1600	1570	1570
使用	1703	1571	1561
/	1559	1559	1559
高い	1558	1558	1558
家	2173	1553	1548
くらい	1535	1535	1534
整理	1532	1531	1531
少し	1530	1530	1530
ちょっと	1526	1526	1526
あれ	1522	1522	1522
みたい	1509	1509	1509
たち	2335	1742	1492
4	1492	1492	1492
そこ	1481	1481	1481
とても	1477	1477	1477
可能	2344	1463	1463
様	2495	1475	1462
よる	1463	1461	1460
好き	1485	1483	1456
使っ	1451	1450	1450
-	1446	1446	1446
5	1446	1446	1446
的	7646	1453	1440
費用	1521	1519	1439
,	1437	1437	1437
購入	1461	1441	1425
10	1425	1425	1425
くる	1419	1417	1417
効果	1590	1440	1415
すぐ	1390	1390	1390
言う	1363	1363	1363
あなた	1359	1359	1359
持っ	1372	1358	1358
しまっ	1358	1358	1358
しかし	1357	1357	1357
写真	1437	1365	1351
くれる	1345	1344	1344
しか	1339	1339	1339
相談	1461	1359	1338
こう	1330	1330	1330
おい	1331	1327	1327
入っ	1354	1325	1325
こちら	1322	1322	1322
対応	1347	1321	1317
言わ	1318	1318	1317
なんて	1312	1312	1312
メール	1487	1453	1308
食べ	1323	1309	1304
”	1304	1304	1304
いただき	1288	1288	1288
…	1262	1262	1262
見る	1261	1261	1261
車	1580	1280	1260
数	1524	1266	1248
確認	1294	1280	1246
次	1352	1287	1243
脱毛	1276	1240	1240
状態	1251	1250	1236
間	1267	1234	1234
会社	1968	1918	1232
価格	1419	1301	1227
サービス	1323	1311	1215
者	4957	1289	1213
ましょう	1207	1207	1207
手	1292	1205	1204
回	1533	1201	1201
リフォーム	1201	1201	1201
出来	1280	1199	1199
こんな	1197	1197	1197
		1178	1178	1178
店	3063	1166	1155
実際	1159	1154	1154
世界	1473	1194	1150
皆	1147	1147	1147
相場	1160	1149	1146
